cellname	file_path	stage	celltype
GasaE751114	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998706_GasaE751114.pairs.gz	E75	epithelial cells
GasaE751115	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998707_GasaE751115.pairs.gz	E75	ExE mesoderm
GasaE751116	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998708_GasaE751116.pairs.gz	E75	ExE ectoderm
GasaE751117	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998709_GasaE751117.pairs.gz	E75	blood
GasaE751118	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998710_GasaE751118.pairs.gz	E75	ExE mesoderm
GasaE751120	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998712_GasaE751120.pairs.gz	E75	ExE endoderm
GasaE751121	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998713_GasaE751121.pairs.gz	E75	neural ectoderm
GasaE751122	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998714_GasaE751122.pairs.gz	E75	ExE mesoderm
GasaE751123	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998715_GasaE751123.pairs.gz	E75	mitosis
GasaE751125	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998717_GasaE751125.pairs.gz	E75	early mesenchyme
GasaE751128	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998720_GasaE751128.pairs.gz	E75	neural ectoderm
GasaE751130	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998722_GasaE751130.pairs.gz	E75	blood
GasaE751134	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998726_GasaE751134.pairs.gz	E75	epithelial cells
GasaE751135	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998727_GasaE751135.pairs.gz	E75	ExE ectoderm
GasaE751139	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998731_GasaE751139.pairs.gz	E75	ExE endoderm
GasaE751140	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998732_GasaE751140.pairs.gz	E75	ExE endoderm
GasaE751143	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998735_GasaE751143.pairs.gz	E75	ExE ectoderm
GasaE751144	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998736_GasaE751144.pairs.gz	E75	early mesoderm
GasaE751145	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998737_GasaE751145.pairs.gz	E75	early mesoderm
GasaE751146	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998738_GasaE751146.pairs.gz	E75	ExE ectoderm
GasaE751147	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998739_GasaE751147.pairs.gz	E75	early mesoderm
GasaE751149	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998741_GasaE751149.pairs.gz	E75	ExE endoderm
GasaE751150	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998742_GasaE751150.pairs.gz	E75	neural ectoderm
GasaE751153	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998745_GasaE751153.pairs.gz	E75	mitosis
GasaE751154	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998746_GasaE751154.pairs.gz	E75	ExE endoderm
GasaE751155	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998747_GasaE751155.pairs.gz	E75	ExE endoderm
GasaE751157	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998749_GasaE751157.pairs.gz	E75	ExE mesoderm
GasaE751158	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998750_GasaE751158.pairs.gz	E75	mitosis
GasaE751161	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998753_GasaE751161.pairs.gz	E75	ExE ectoderm
GasaE751162	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998754_GasaE751162.pairs.gz	E75	endoderm
GasaE751163	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998755_GasaE751163.pairs.gz	E75	ExE ectoderm
GasaE751165	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998757_GasaE751165.pairs.gz	E75	neural ectoderm
GasaE751167	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998759_GasaE751167.pairs.gz	E75	early mesenchyme
GasaE751169	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998761_GasaE751169.pairs.gz	E75	ExE endoderm
GasaE751171	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998763_GasaE751171.pairs.gz	E75	ExE ectoderm
GasaE751172	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998764_GasaE751172.pairs.gz	E75	neural ectoderm
GasaE751173	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998765_GasaE751173.pairs.gz	E75	ExE endoderm
GasaE751175	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998767_GasaE751175.pairs.gz	E75	mitosis
GasaE751180	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998772_GasaE751180.pairs.gz	E75	ExE endoderm
GasaE751185	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998776_GasaE751185.pairs.gz	E75	neural ectoderm
GasaE751189	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998780_GasaE751189.pairs.gz	E75	blood
GasaE751191	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998782_GasaE751191.pairs.gz	E75	endoderm
GasaE751192	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998783_GasaE751192.pairs.gz	E75	ExE ectoderm
GasaE751194	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998785_GasaE751194.pairs.gz	E75	ExE ectoderm
GasaE751195	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998786_GasaE751195.pairs.gz	E75	ExE endoderm
GasaE751196	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998787_GasaE751196.pairs.gz	E75	ExE ectoderm
GasaE751197	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998788_GasaE751197.pairs.gz	E75	early mesoderm
GasaE751198	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998790_GasaE751198.pairs.gz	E75	ExE ectoderm
GasaE751199	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998795_GasaE751199.pairs.gz	E75	mitosis
GasaE751205	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998826_GasaE751205.pairs.gz	E75	ExE endoderm
GasaE751207	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998839_GasaE751207.pairs.gz	E75	blood
GasaE751209	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998847_GasaE751209.pairs.gz	E75	ExE endoderm
GasaE751212	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998849_GasaE751212.pairs.gz	E75	neural ectoderm
GasaE751216	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998853_GasaE751216.pairs.gz	E75	ExE mesoderm
GasaE751220	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998857_GasaE751220.pairs.gz	E75	ExE endoderm
GasaE751222	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998859_GasaE751222.pairs.gz	E75	epiblast and PS
GasaE751223	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998860_GasaE751223.pairs.gz	E75	ExE ectoderm
GasaE751232	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998869_GasaE751232.pairs.gz	E75	endoderm
GasaE751234	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998871_GasaE751234.pairs.gz	E75	ExE ectoderm
GasaE751236	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998873_GasaE751236.pairs.gz	E75	neural ectoderm
GasaE751239	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998876_GasaE751239.pairs.gz	E75	ExE ectoderm
GasaE751242	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998878_GasaE751242.pairs.gz	E75	mitosis
GasaE751246	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998881_GasaE751246.pairs.gz	E75	neural ectoderm
GasaE751252	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998887_GasaE751252.pairs.gz	E75	early mesoderm
GasaE751254	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998889_GasaE751254.pairs.gz	E75	ExE ectoderm
GasaE751260	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998894_GasaE751260.pairs.gz	E75	blood
GasaE751262	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998896_GasaE751262.pairs.gz	E75	epiblast and PS
GasaE751263	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998897_GasaE751263.pairs.gz	E75	early mesoderm
GasaE751266	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998900_GasaE751266.pairs.gz	E75	early mesenchyme
GasaE751267	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998901_GasaE751267.pairs.gz	E75	ExE endoderm
GasaE751269	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998903_GasaE751269.pairs.gz	E75	early mesoderm
GasaE751272	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998906_GasaE751272.pairs.gz	E75	ExE endoderm
GasaE751273	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998907_GasaE751273.pairs.gz	E75	early mesoderm
GasaE751277	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998911_GasaE751277.pairs.gz	E75	mitosis
GasaE751278	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998912_GasaE751278.pairs.gz	E75	ExE ectoderm
GasaE751279	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998913_GasaE751279.pairs.gz	E75	ExE endoderm
