Cellname	pairs	order_index	near_p	mitotic_p	farAvg	NaganoCellcycle	repli_score	annote_ratio
GasbE751272	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999272_GasbE751272.pairs.gz	6184	0.5301421817363143	0.1742433426273892	26972632.87420463	G1	0.4904050922301212	0.9934996555071873
GasbE751273	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999273_GasbE751273.pairs.gz	1858	0.6823111129050704	0.1316844605003801	24677162.432225596	early/mid-S	0.5764960798407838	0.9947222233763644
GasbE751274	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999274_GasbE751274.pairs.gz	2107	0.6969388663504216	0.1345101380710746	23933176.74190796	early/mid-S	0.5241236487139485	0.9942082809846613
GasbE751275	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999275_GasbE751275.pairs.gz	4510	0.617200051707263	0.14403704456058058	30312290.671460066	G1	0.5800798260091325	0.9946927011408527
GasbE751276	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999276_GasbE751276.pairs.gz	6542	0.4736560352875074	0.1887766614018555	25644786.666294947	G1	0.5269172453567784	0.9942418050434115
GasbE751277	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999277_GasbE751277.pairs.gz	2594	0.646904156472166	0.14044136379586322	24603571.772261377	early/mid-S	0.6239429668740925	0.9951866041120289
GasbE751278	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999278_GasbE751278.pairs.gz	2298	0.6505224325697497	0.13495438379464977	26992503.60254207	early/mid-S	0.6438860744480778	0.9951966249301096
GasbE751279	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999279_GasbE751279.pairs.gz	3516	0.6651757037875171	0.13678553117762496	24779111.04508312	early/mid-S	0.6105419368603934	0.9951250828678763
GasbE751280	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999280_GasbE751280.pairs.gz	3163	0.640563825204614	0.13898913511702485	24861428.695319533	early/mid-S	0.5941498401808685	0.9951337023466126
GasbE751281	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999281_GasbE751281.pairs.gz	2991	0.6411307093163945	0.1475536902601331	24182961.607499123	early/mid-S	0.623708890303416	0.9952132399745385
GasbE751284	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999282_GasbE751284.pairs.gz	2165	0.6799046020134187	0.13668761705042032	24239230.07326308	early/mid-S	0.6028419683082181	0.9946626922479416
GasbE751285	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999283_GasbE751285.pairs.gz	4586	0.599042800300353	0.17638369392065908	19994833.38192432	G1	0.561214664172727	0.9939469002688929
GasbE751286	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999284_GasbE751286.pairs.gz	1711	0.6857561668538845	0.1389525541378494	22717432.4694163	early/mid-S	0.653432718451778	0.9954367036306445
GasbE751287	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999285_GasbE751287.pairs.gz	3882	0.5757438202020507	0.14990896114835045	27638064.82504913	G1	0.538018123316919	0.9937391876052185
GasbE751288	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999286_GasbE751288.pairs.gz	1525	0.6503554900350825	0.13447973426886617	26173298.05783465	early/mid-S	0.5906254227235362	0.9949052058728656
GasbE751289	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999287_GasbE751289.pairs.gz	1615	0.7104949334803887	0.11455504239332735	26721002.509091176	early/mid-S	0.5474455585764365	0.9946236089134445
GasbE751290	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999288_GasbE751290.pairs.gz	5687	0.5317047619770593	0.15981431857345652	30052172.793377284	G1	0.6310063217061598	0.9946191907935774
GasbE751291	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999289_GasbE751291.pairs.gz	5505	0.5140016103457303	0.16878497932731018	25858839.357896216	G1	0.5586340664309909	0.9940815612619556
GasbE751292	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999290_GasbE751292.pairs.gz	5559	0.5941401343454754	0.1567090819725848	28379307.378856204	G1	0.6013457477146953	0.9949253133141157
GasbE751293	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999291_GasbE751293.pairs.gz	7227	0.43976366079017354	0.22789460696953912	18330632.718603976	G1	0.5222706465325869	0.9936094369568212
GasbE751294	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999292_GasbE751294.pairs.gz	2549	0.6727851695602791	0.1332143436638001	25701227.76644389	early/mid-S	0.6001678605524541	0.9951348890729419
GasbE751295	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999293_GasbE751295.pairs.gz	949	0.7407264047480808	0.10873681773851403	28481832.811299372	early/mid-S	0.6113044428977902	0.9952160382716938
